,Longitude,Latitude,PM25,Date
163989,-92.1659975412758,46.7436571531727,2.3,06/18/2022
164291,-93.512534,44.7914370009432,5.5,06/18/2022
164846,-93.66921,45.2091600009432,2.9,06/18/2022
165156,-90.734175,33.750838,13.3,06/18/2022
165485,-89.98778,34.82056,11.4,06/18/2022
165857,-89.2922,31.32389,12.6,06/18/2022
166186,-89.395916,30.3008330008224,11.2,06/18/2022
166514,-89.0497776193734,30.390369181243,13.2,06/18/2022
166933,-90.182722,32.329111,14.2,06/18/2022
167261,-90.225667,32.346722,13.2,06/18/2022
167588,-88.5339296135032,30.3782867218264,11.3,06/18/2022
167901,-94.858584090462,39.7416944853212,12.7,06/18/2022
168218,-94.858584090462,39.7416944853212,8.5,06/18/2022
168398,-94.57983,38.75961,18.3,06/18/2022
168727,-94.03474,37.70097,18.4,06/18/2022
169054,-94.3770140393154,39.3031741035639,7.3,06/18/2022
169378,-93.2998938430676,37.2561370295805,13.4,06/18/2022
169646,-93.2998938430676,37.2561370295805,13.4,06/18/2022
169827,-94.5707895938208,39.1046863699472,12.7,06/18/2022
170156,-94.5707895938208,39.1046863699472,13.9,06/18/2022
170335,-94.450513,39.047911,13.3,06/18/2022
170650,-90.3959043035092,38.4486717884839,6.0,06/18/2022
170959,-90.3503131332522,38.6503289014021,3.9,06/18/2022
171486,-90.2637112060473,38.542550531558,4.5,06/18/2022
171849,-90.1983482680334,38.656428944875,5.1,06/18/2022
172175,-90.1983482680334,38.656428944875,5.3,06/18/2022
